GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,42,0,0,0,12,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,53,0,0,0,13,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,43,80,11,3,10,22,7,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,82,176,10,6,17,41,11,9,3,9
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,11,82,3,3,4,22,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,11,88,3,3,4,23,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,11,87,3,3,4,23,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,11,87,3,3,4,23,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,66,1,1,0,17,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,54,1,1,0,14,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.service,UserMapper,3,68,0,0,1,17,1,4,1,4
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,0,38,0,2,0,7,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,2,60,1,1,1,15,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,29,0,0,0,9,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,50,1,1,0,13,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.service,UserService,5,65,0,2,1,16,1,6,1,5
spring-boot-skeleton,com.nnk.springboot,PasswordConstraintValidator,11,60,3,3,4,7,3,3,0,3
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot,SecurityConfig,0,105,0,0,0,22,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,52,0,0,0,22,0,15,0,15
spring-boot-skeleton,com.nnk.springboot.domain,UserDto,18,38,0,0,1,16,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,BidList,136,21,0,0,58,9,39,6,39,6
spring-boot-skeleton,com.nnk.springboot.domain,Trade,123,27,0,0,53,11,35,8,35,8
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,31,0,0,6,14,4,9,4,9
